score	address	name	body_bytes	evidence	reviewed	compat_modeled	default_name	product_string_count	business_neighbor_count	callers	callees	example_string	file
241	103d7554	dt_audio_control_button_callback	300	product_name,product_string,focus_export,semantic_review,compat_trace	1	1	0	1	0	0	5	[AUDIO_CTRL] User released button during LONGLONGPRESS vibration\n	functions/103d7554_dt_audio_control_button_callback.c
238	1030baa8	lnv_key_status_main	38	product_name,product_string,focus_export	0	0	0	1	0	0	3	---lnv--- %s powerkey %d aikey %d	functions/1030baa8_lnv_key_status_main.c
236	103c92fc	FUN_103c92fc	822	product_string,focus_export	0	0	1	4	315	356	21	[%s.%03d][DTIOT][%s]%s():%d 	functions/103c92fc_FUN_103c92fc.c
229	103d54fc	create_new_file	1356	product_string,focus_export,semantic_review	1	0	0	3	11	2	28	/emmc/audio	functions/103d54fc_create_new_file.c
221	1030cc2c	FUN_1030cc2c	1818	product_string,focus_export	0	0	1	2	17	0	36	=== Lenovo DTIOT OS HAL Test Application ===\r\n	functions/1030cc2c_FUN_1030cc2c.c
218	103c53b0	dt_light_ui_push	264	product_name,focus_export,semantic_review	1	0	0	0	13	11	12		functions/103c53b0_dt_light_ui_push.c
218	103cb4a4	should_permit_file_list_permission	138	product_string,focus_export,semantic_review,compat_trace	1	1	0	8	4	2	3	current mode is incognito, ding sdk less than 1.6.88, not return file list	functions/103cb4a4_should_permit_file_list_permission.c
215	103db0b8	dt_ble_async_req_new	54	product_name,focus_export,semantic_review	1	0	0	0	12	11	4		functions/103db0b8_dt_ble_async_req_new.c
215	103db0fc	dt_ble_async_push	58	product_name,focus_export,semantic_review	1	0	0	0	11	11	2		functions/103db0fc_dt_ble_async_push.c
212	103e34e8	dt_hid_handle_set_working_mode	1406	product_name,focus_export,semantic_review,compat_trace	1	1	0	0	8	0	25		functions/103e34e8_dt_hid_handle_set_working_mode.c
211	103d77b0	start_recording_internal	396	product_string,focus_export,semantic_review,compat_trace	1	1	0	1	15	4	17	persist.dt.aud.stream_rec	functions/103d77b0_start_recording_internal.c
210	103d700c	stop_recording_internal	252	product_string,focus_export,semantic_review,compat_trace	1	1	0	1	10	6	12	[AUDIO_CTRL] External button stopped schedule recording (sid=%u), notifying schedule module\n	functions/103d700c_stop_recording_internal.c
209	103c5fcc	dt_ota_file_recv_header	250	product_name,focus_export,semantic_review,compat_trace	1	1	0	0	8	2	9		functions/103c5fcc_dt_ota_file_recv_header.c
207	101c551c	FUN_101c551c	466	product_string,focus_export	0	0	1	9	1	1	9	CRITICAL ERROR: sector_size (%d) > DTIOT_BUFFER_SIZE (%d) - would cause buffer overflow!	functions/101c551c_FUN_101c551c.c
206	103dbe24	dt_ble_aud_connect_callback	442	product_name,focus_export,semantic_review	1	0	0	0	7	0	16		functions/103dbe24_dt_ble_aud_connect_callback.c
205	103c60f4	dt_ota_file_recv_block	216	product_name,focus_export,semantic_review,compat_trace	1	1	0	0	7	2	7		functions/103c60f4_dt_ota_file_recv_block.c
204	103dc320	dt_ble_bind_init	98	product_name,focus_export,semantic_review	1	0	0	0	7	1	11		functions/103dc320_dt_ble_bind_init.c
202	103e6e4c	dt_tcp_handle_file_header_send	486	product_name,focus_export,semantic_review,compat_trace	1	1	0	0	6	1	12		functions/103e6e4c_dt_tcp_handle_file_header_send.c
199	103c54f0	dt_light_ui_callback	802	product_name,focus_export,semantic_review	1	0	0	0	5	0	15		functions/103c54f0_dt_light_ui_callback.c
198	101c5244	factory_section_init	574	product_name,product_string,semantic_review	1	0	0	8	6	4	12	DTIOT flash module registered successfully	functions/101c5244_factory_section_init.c
196	103c5f80	dt_ota_async_proc	64	product_name,focus_export,semantic_review	1	0	0	0	5	2	4		functions/103c5f80_dt_ota_async_proc.c
194	103e3380	dt_hid_bind_get_random	304	product_name,focus_export,semantic_review,compat_trace	1	1	0	0	4	1	15		functions/103e3380_dt_hid_bind_get_random.c
193	103c5c68	dt_ota_version_parse	148	product_name,focus_export,semantic_review,compat_trace	1	1	0	0	4	3	2		functions/103c5c68_dt_ota_version_parse.c
193	103c6d60	dt_stream_trans_init	138	product_name,focus_export,semantic_review	1	0	0	0	4	1	6		functions/103c6d60_dt_stream_trans_init.c
193	103e2db0	dt_hid_send_packet_fragments	248	product_name,focus_export,semantic_review,compat_trace	1	1	0	0	4	2	7		functions/103e2db0_dt_hid_send_packet_fragments.c
193	103e7088	dt_tcp_handle_file_block_send	212	product_name,focus_export,semantic_review,compat_trace	1	1	0	0	4	1	5		functions/103e7088_dt_tcp_handle_file_block_send.c
192	103c81f8	dt_wifi_init	126	product_name,focus_export,semantic_review,compat_trace	1	1	0	0	4	1	7		functions/103c81f8_dt_wifi_init.c
192	103d8028	dt_stop_voiceprint	92	product_name,focus_export,semantic_review	1	0	0	0	4	2	5		functions/103d8028_dt_stop_voiceprint.c
192	103db04c	dt_ble_async_init	88	product_name,focus_export,semantic_review	1	0	0	0	4	1	6		functions/103db04c_dt_ble_async_init.c
191	103db2e8	get_device_info_callback	366	product_string,focus_export,semantic_review,compat_trace	1	1	0	1	5	0	18	[DTIOT]devinf:%s\n	functions/103db2e8_get_device_info_callback.c
190	103db4c4	bind_status_callback	186	product_string,focus_export,semantic_review	1	0	0	1	5	0	7	 device binded dt_vibrate_once\n	functions/103db4c4_bind_status_callback.c
190	103dc910	a1_dt_display_set_voice_memo_hint	148	product_string,focus_export,semantic_review	1	0	0	3	1	0	3	[DISPLAY] Triggering display refresh for voice memo hint change in state %d\n	functions/103dc910_a1_dt_display_set_voice_memo_hint.c
190	103e5574	dt_tcp_server_start	336	product_name,focus_export,semantic_review	1	0	0	0	3	1	13		functions/103e5574_dt_tcp_server_start.c
189	103c5d20	dt_ota_get_file_offset	132	product_name,focus_export,semantic_review	1	0	0	0	3	1	6		functions/103c5d20_dt_ota_get_file_offset.c
