offsets	literal	sources
0x00269d8f	/dev/console	arch/arm/src/a1x/a1x_serial.c|arch/arm/src/am335x/am335x_serial.c|arch/arm/src/at32/at32_serial.c|arch/arm/src/c5471/c5471_serial.c|arch/arm/src/cxd32xx/cxd32_serial.c|arch/arm/src/cxd56xx/cxd56_serial.c|arch/arm/src/dm320/dm320_serial.c|arch/arm/src/efm32/efm32_leserial.c|arch/arm/src/efm32/efm32_serial.c|arch/arm/src/eoss3/eoss3_serial.c|arch/arm/src/gd32f4/gd32f4xx_serial.c|arch/arm/src/imx1/imx_serial.c|arch/arm/src/imx6/imx_serial.c|arch/arm/src/imxrt/imxrt_serial.c|arch/arm/src/kinetis/kinetis_lpserial.c|arch/arm/src/kinetis/kinetis_serial.c|arch/arm/src/kl/kl_serial.c|arch/arm/src/lc823450/lc823450_serial.c|arch/arm/src/lpc17xx_40xx/lpc17_40_serial.c|arch/arm/src/lpc214x/lpc214x_serial.c|arch/arm/src/lpc2378/lpc23xx_serial.c|arch/arm/src/lpc31xx/lpc31_serial.c|arch/arm/src/lpc43xx/lpc43_serial.c|arch/arm/src/lpc54xx/lpc54_serial.c|arch/arm/src/max326xx/max32660/max32660_serial.c|arch/arm/src/mx8mp/mx8mp_serial.c|arch/arm/src/nrf52/nrf52_serial.c|arch/arm/src/nrf53/nrf53_serial.c|arch/arm/src/nrf91/nrf91_serial.c|arch/arm/src/nuc1xx/nuc_serial.c|arch/arm/src/phy62xx/uart.c|arch/arm/src/rp2040/rp2040_serial.c|arch/arm/src/rtl8720c/ameba_uart.c|arch/arm/src/s32k1xx/s32k1xx_serial.c|arch/arm/src/s32k3xx/s32k3xx_serial.c|arch/arm/src/sam34/sam_serial.c|arch/arm/src/sama5/sam_dbgu.c|arch/arm/src/sama5/sam_flexcom_serial.c|arch/arm/src/sama5/sam_serial.c|arch/arm/src/samd2l2/sam_serial.c|arch/arm/src/samd5e5/sam_serial.c|arch/arm/src/samv7/sam_serial.c|arch/arm/src/stm32/stm32_serial.c|arch/arm/src/stm32f0l0g0/stm32_serial_v1.c|arch/arm/src/stm32f0l0g0/stm32_serial_v2.c|arch/arm/src/stm32f7/stm32_serial.c|arch/arm/src/stm32h7/stm32_serial.c|arch/arm/src/stm32l4/stm32l4_serial.c|arch/arm/src/stm32l5/stm32l5_serial.c|arch/arm/src/stm32u5/stm32_serial.c|arch/arm/src/stm32wb/stm32wb_serial.c|arch/arm/src/stm32wl5/stm32wl5_serial.c|arch/arm/src/str71x/str71x_serial.c|arch/arm/src/tiva/common/tiva_serial.c|arch/arm/src/tlsr82/tlsr82_serial.c|arch/arm/src/tlsr82/tlsr82_spi_console.c|arch/arm/src/tms570/tms570_serial.c|arch/arm/src/xmc4/xmc4_serial.c|arch/arm64/src/a64/a64_serial.c|arch/arm64/src/imx8/imx8qm_serial.c|arch/arm64/src/imx9/imx9_lpuart.c|arch/arm64/src/rk3399/rk3399_serial.c|arch/avr/src/at32uc3/at32uc3_serial.c|arch/avr/src/at90usb/at90usb_serial.c|arch/avr/src/atmega/atmega_serial.c|arch/hc/src/m9s12/m9s12_serial.c|arch/mips/src/pic32mx/pic32mx_serial.c|arch/mips/src/pic32mz/pic32mz_serial.c|arch/misoc/src/common/misoc_serial.c|arch/or1k/src/mor1kx/mor1kx_serial.c|arch/renesas/src/m16c/m16c_serial.c|arch/renesas/src/rx65n/rx65n_serial.c|arch/renesas/src/sh1/sh1_serial.c|arch/risc-v/src/bl602/bl602_serial.c|arch/risc-v/src/bl808/bl808_serial.c|arch/risc-v/src/c906/c906_serial.c|arch/risc-v/src/common/espressif/esp_serial.c|arch/risc-v/src/esp32c3-legacy/esp32c3_serial.c|arch/risc-v/src/fe310/fe310_serial.c|arch/risc-v/src/hpm6000/hpm_serial.c|arch/risc-v/src/hpm6750/hpm6750_serial.c|arch/risc-v/src/k210/k210_serial.c|arch/risc-v/src/litex/litex_serial.c|arch/risc-v/src/mpfs/mpfs_serial.c|arch/risc-v/src/rv32m1/rv32m1_serial.c|arch/sim/src/sim/sim_uart.c|arch/sparc/src/bm3803/bm3803-serial.c|arch/sparc/src/bm3823/bm3823-serial.c|arch/sparc/src/s698pm/s698pm-serial.c|arch/tricore/src/tc3xx/tc3xx_serial.c|arch/xtensa/src/esp32/esp32_serial.c|arch/xtensa/src/esp32s2/esp32s2_serial.c|arch/xtensa/src/esp32s3/esp32s3_serial.c|arch/z16/src/z16f/z16f_serial.c|arch/z80/src/ez80/ez80_serial.c|arch/z80/src/z180/z180_scc.c|arch/z80/src/z8/z8_serial.c|boards/sim/sim/sim/src/sim_bringup.c|boards/z80/z80/z80sim/src/z80_serial.c|drivers/misc/lwl_console.c|drivers/segger/serial_rtt.c|drivers/serial/serial_cmsdk.c|drivers/serial/uart_16550.c|drivers/serial/uart_pl011.c|drivers/serial/uart_rpmsg.c|drivers/syslog/syslog_console.c|drivers/syslog/syslog_consolechannel.c|drivers/usbdev/cdcacm.c|drivers/usbdev/pl2303.c|sched/group/group_setupidlefiles.c
0x0026a2d2	/dev/log	drivers/syslog/syslog_chardev.c
0x00269fdc	/dev/loop	drivers/loop/loop.c
0x0026a82f	/dev/oneshot	arch/risc-v/src/common/espressif/esp_oneshot.c|boards/arm/stm32/stm32f103-minimum/src/stm32_bringup.c|boards/risc-v/bl602/bl602evb/src/bl602_bringup.c|boards/risc-v/esp32c3-legacy/common/src/esp32c3_board_oneshot.c|boards/sim/sim/sim/src/sim_bringup.c|boards/sparc/bm3803/xx3803/src/bm3803_appinit.c|boards/x86_64/intel64/qemu-intel64/src/qemu_bringup.c|boards/xtensa/esp32/common/src/esp32_oneshot.c|boards/xtensa/esp32s2/esp32s2-kaluga-1/src/esp32s2_oneshot.c|boards/xtensa/esp32s2/esp32s2-saola-1/src/esp32s2_oneshot.c|boards/xtensa/esp32s2/franzininho-wifi/src/esp32s2_oneshot.c|boards/xtensa/esp32s3/common/src/esp32s3_board_tim.c
0x0026a136	/dev/ram%d	boards/sim/sim/sim/src/sim_zoneinfo.c|drivers/misc/ramdisk.c
0x00269a2a	/dev/ram0	boards/risc-v/bl602/bl602evb/src/bl602_bringup.c|boards/risc-v/mpfs/icicle/src/mpfs_bringup.c
0x0026a97c	/dev/random	arch/arm/src/lpc54xx/lpc54_rng.c|arch/arm/src/nrf52/nrf52_rng.c|arch/arm/src/sama5/sam_trng.c|arch/arm/src/samv7/sam_trng.c|arch/arm/src/stm32/stm32_rng.c|arch/arm/src/stm32f0l0g0/stm32_rng.c|arch/arm/src/stm32f7/stm32_rng.c|arch/arm/src/stm32l4/stm32l4_rng.c|arch/risc-v/src/common/espressif/esp_random.c|arch/risc-v/src/esp32c3-legacy/esp32c3_rng.c|arch/x86_64/src/intel64/intel64_rng.c|arch/xtensa/src/esp32/esp32_rng.c|arch/xtensa/src/esp32s2/esp32s2_rng.c|arch/xtensa/src/esp32s3/esp32s3_rng.c|drivers/virtio/virtio-rng.c|libs/libc/misc/lib_getrandom.c
0x0026a29c	/dev/rptun/%s	drivers/rptun/rptun.c
0x0026e2ad	/dev/tty	drivers/serial/uart_rpmsg.c
0x0026e715	/dev/urandom	arch/arm/src/lpc54xx/lpc54_rng.c|arch/arm/src/sama5/sam_trng.c|arch/arm/src/samv7/sam_trng.c|arch/arm/src/stm32/stm32_rng.c|arch/arm/src/stm32f0l0g0/stm32_rng.c|arch/arm/src/stm32f7/stm32_rng.c|arch/arm/src/stm32l4/stm32l4_rng.c|arch/risc-v/src/common/espressif/esp_random.c|arch/risc-v/src/esp32c3-legacy/esp32c3_rng.c|arch/x86_64/src/intel64/intel64_rng.c|arch/xtensa/src/esp32/esp32_rng.c|arch/xtensa/src/esp32s3/esp32s3_rng.c|drivers/crypto/dev_urandom.c|libs/libc/misc/lib_getrandom.c
