object	symbol	size	relocations	image_offset	address
hal_cmu_best1700.o	hal_cmu_hifi4_sleep_irq_register	44	3	0x000b63a8	0x102463a8
hal_cmu_best1700.o	hal_cmu_hifi4_wakeup_irq_register	44	3	0x000b63d4	0x102463d4
hal_cmu_best1700.o	hal_cmu_cp_wake_lock	48	6	0x000b6404	0x10246404
hal_cmu_best1700.o	hal_cmu_clock_enable	188	2	0x000b66a4	0x102466a4
hal_cmu_best1700.o	hal_cmu_clock_disable	156	0	0x000b6760	0x10246760
hal_cmu_best1700.o	hal_cmu_clock_get_status	152	0	0x000b67fc	0x102467fc
hal_cmu_best1700.o	hal_cmu_reset_set	228	1	0x000b6894	0x10246894
hal_cmu_best1700.o	hal_cmu_reset_clear	208	0	0x000b6978	0x10246978
hal_cmu_best1700.o	hal_cmu_disppre_hclk_enable.part.0	80	7	0x000b6a48	0x10246a48
hal_cmu_best1700.o	hal_cmu_dispb_xclk_enable.part.0	84	7	0x000b6a98	0x10246a98
hal_cmu_best1700.o	hal_cmu_reset_get_status	192	0	0x000b6aec	0x10246aec
hal_cmu_best1700.o	hal_cmu_reset_pulse	248	2	0x000b6bac	0x10246bac
hal_cmu_best1700.o	hal_cmu_timer_clock_enable	100	7	0x000b6ca4	0x10246ca4
hal_cmu_best1700.o	hal_cmu_lcdc_get_pixmhz	66	0	0x000b6d08	0x10246d08
hal_cmu_best1700.o	hal_cmu_lcdc_get_qspimhz	66	0	0x000b6e10	0x10246e10
hal_cmu_best1700.o	hal_cmu_dsi_sleep	32	1	0x000b6f5c	0x10246f5c
hal_cmu_best1700.o	hal_cmu_dsi1_sleep	36	1	0x000b6fda	0x10246fda
hal_cmu_best1700.o	hal_cmu_lcdc_clock_enable	144	26	0x000b701c	0x1024701c
hal_cmu_best1700.o	hal_cmu_lcdc_disp_pn_reset	62	9	0x000b70e8	0x102470e8
hal_cmu_best1700.o	hal_cmu_i2s_clock_out_enable	36	3	0x000b7170	0x10247170
hal_cmu_best1700.o	hal_cmu_i2s_clock_out_disable	38	4	0x000b7194	0x10247194
hal_cmu_best1700.o	hal_cmu_i2s_set_slave_mode	34	3	0x000b71ba	0x102471ba
hal_cmu_best1700.o	hal_cmu_i2s_set_master_mode	36	2	0x000b71dc	0x102471dc
hal_cmu_best1700.o	hal_cmu_i2s_clock_enable	48	3	0x000b7200	0x10247200
hal_cmu_best1700.o	hal_cmu_i2s_clock_disable	48	2	0x000b7230	0x10247230
hal_cmu_best1700.o	hal_cmu_i2s_set_div	70	2	0x000b7260	0x10247260
hal_cmu_best1700.o	hal_cmu_i2s_mclk_set_div	68	3	0x000b72a8	0x102472a8
hal_cmu_best1700.o	hal_cmu_i2s_mclk_set_src	82	3	0x000b72ec	0x102472ec
hal_cmu_best1700.o	hal_cmu_pcm_set_slave_mode	38	3	0x000b733e	0x1024733e
hal_cmu_best1700.o	hal_cmu_ispi_set_freq	62	2	0x000b7368	0x10247368
hal_cmu_best1700.o	hal_cmu_m55c1_wakeup_allow	46	4	0x000b751c	0x1024751c
hal_cmu_best1700.o	hal_cmu_cp_subsys_wakeup_safe	20	2	0x000b7668	0x10247668
hal_cmu_best1700.o	hal_cmu_cp_subsys_enable	32	4	0x000b767c	0x1024767c
hal_cmu_best1700.o	hal_cmu_cp_subsys_disable	28	4	0x000b769c	0x1024769c
hal_cmu_best1700.o	hal_cmu_cp_start_cpu	44	3	0x000b76b8	0x102476b8
hal_cmu_best1700.o	hal_cmu_hifi4_wakeup_safe	20	2	0x000b7750	0x10247750
hal_sdmmc.o	hal_sdmmc_set_delay_func	16	1	0x000b87c8	0x102487c8
hal_sdmmc.o	hal_sdmmc_set_delay_us_func	16	1	0x000b87c8	0x102487c8
hal_key.o	gpio_map_set_pin	24	0	0x000bc07e	0x1024c07e
hal_key.o	gpio_map_clear_map	28	0	0x000bc0b2	0x1024c0b2
hal_key.o	gpio_map_test_set_map	30	0	0x000bc0d8	0x1024c0d8
hal_key.o	gpio_map_test_set	22	0	0x000bc0f6	0x1024c0f6
hal_key.o	gpio_map_assign	14	0	0x000bc10c	0x1024c10c
hal_key.o	hal_gpiokey_enable_irq	56	5	0x000bc11c	0x1024c11c
hal_key.o	gpio_map_to_str.constprop.0	88	3	0x000bc3b0	0x1024c3b0
hal_rmt_ipc_common.o	_rmt_ipc_tx_busy	52	3	0x000be43c	0x1024e43c
hal_rmt_ipc_common.o	hal_rmt_ipc_get_rsc_table	104	9	0x000bee40	0x1024ee40
hal_sdmmc.o	__div64_32	120	0	0x000bef38	0x1024ef38
hal_sdmmc.o	mmc_wait_dat0	14	0	0x000befb0	0x1024efb0
hal_sdmmc.o	mmc_send_cmd_retry	32	2	0x000befc6	0x1024efc6
hal_sdmmc.o	mmc_send_status	46	1	0x000befe6	0x1024efe6
hal_sdmmc.o	mmc_set_ios_clock	14	0	0x000bf014	0x1024f014
hal_sdmmc.o	mmc_send_op_cond_iter	68	2	0x000bf024	0x1024f024
hal_sdmmc.o	mmc_send_ext_csd	46	1	0x000bf068	0x1024f068
hal_sdmmc.o	mmc_power_cycle	44	3	0x000bf234	0x1024f234
hal_sdmmc.o	mmc_go_idle	50	4	0x000bf270	0x1024f270
hal_sdmmc.o	bus_width	52	3	0x000bf2a4	0x1024f2a4
hal_sdmmc.o	__mmc_switch.constprop.0	208	10	0x000bf5d0	0x1024f5d0
hal_sdmmc.o	mmc_send_cmd_retry_timeout.constprop.0	120	13	0x000bf71c	0x1024f71c
hal_sdmmc.o	hal_sdmmc_set_clock	34	2	0x000c053c	0x1025053c
hal_sdmmc.o	hal_sdmmc_dump_card_info	1216	192	0x000c1ac0	0x10251ac0
hal_sdmmc.o	hal_sdmmc_get_card_current_state	30	2	0x000c25f4	0x102525f4
hal_usb.o	hal_usb_wakeup	40	2	0x000c6e28	0x10256e28
hal_usb.o	reset_epn_out_transfer	56	2	0x000c6e50	0x10256e50
hal_usb.o	reset_epn_in_transfer	56	2	0x000c6e88	0x10256e88
